Video,Label,Frame,Lips_Left_Mag,FPS
video108_final.mp4,Healthy,31,0.029547455241064537,20.0
video108_final.mp4,Healthy,32,0.05373945457325924,20.0
video108_final.mp4,Healthy,33,0.03072433324590404,20.0
video108_final.mp4,Healthy,34,0.04616432739560068,20.0
video108_final.mp4,Healthy,35,0.025798973091344025,20.0
video108_final.mp4,Healthy,36,0.039309001630287894,20.0
video108_final.mp4,Healthy,37,0.036203927322424174,20.0
video108_final.mp4,Healthy,38,0.04666385675996559,20.0
video108_final.mp4,Healthy,39,0.02032676418081257,20.0
video108_final.mp4,Healthy,40,0.015584856328207032,20.0
video108_final.mp4,Healthy,41,0.011915936716924598,20.0
video108_final.mp4,Healthy,42,0.01915225554090174,20.0
video108_final.mp4,Healthy,43,0.03460573409999735,20.0
video108_final.mp4,Healthy,44,0.03637362383854158,20.0
video108_final.mp4,Healthy,45,0.015540815506973457,20.0
video108_final.mp4,Healthy,46,0.035561470753218145,20.0
video108_final.mp4,Healthy,47,0.014995690382514007,20.0
video108_final.mp4,Healthy,48,0.014595737152046349,20.0
video108_final.mp4,Healthy,49,0.03163305950431042,20.0
video108_final.mp4,Healthy,50,0.021442721523874636,20.0
video108_final.mp4,Healthy,51,0.007604410255042553,20.0
video108_final.mp4,Healthy,52,0.03234968975069932,20.0
video108_final.mp4,Healthy,53,0.015354408394125751,20.0
video108_final.mp4,Healthy,54,0.07198392874743058,20.0
video108_final.mp4,Healthy,55,0.02208289506929425,20.0
video108_final.mp4,Healthy,56,0.016950500064497463,20.0
video108_final.mp4,Healthy,57,0.028130996382970747,20.0
video108_final.mp4,Healthy,58,0.018104711175011654,20.0
video108_final.mp4,Healthy,59,0.03825825928578632,20.0
video108_final.mp4,Healthy,60,0.052164441597439354,20.0
video108_final.mp4,Healthy,61,0.018260892079189926,20.0
video108_final.mp4,Healthy,62,0.025224607442736427,20.0
video108_final.mp4,Healthy,63,0.017475709564137656,20.0
video108_final.mp4,Healthy,64,0.03059784275194896,20.0
video108_final.mp4,Healthy,65,0.016100097350940104,20.0
video108_final.mp4,Healthy,66,0.02260617969369382,20.0
video108_final.mp4,Healthy,67,0.00920432680381995,20.0
video108_final.mp4,Healthy,68,0.03174996796220465,20.0
video108_final.mp4,Healthy,69,0.00734868378888417,20.0
video108_final.mp4,Healthy,70,0.04367463744228198,20.0
video108_final.mp4,Healthy,71,0.010388015955936695,20.0
video108_final.mp4,Healthy,72,0.023071045707074175,20.0
video108_final.mp4,Healthy,73,0.021055574350798578,20.0
video108_final.mp4,Healthy,74,0.0070894608210065055,20.0
video108_final.mp4,Healthy,75,0.005884160863372753,20.0
video108_final.mp4,Healthy,76,0.017298953462507514,20.0
video108_final.mp4,Healthy,77,0.014340353056004933,20.0
video108_final.mp4,Healthy,78,0.025069518309213487,20.0
video108_final.mp4,Healthy,79,0.016923670712643585,20.0
video108_final.mp4,Healthy,80,0.01911396299760465,20.0
video108_final.mp4,Healthy,81,0.020100975868910707,20.0
video108_final.mp4,Healthy,82,0.030324448976924857,20.0
video108_final.mp4,Healthy,83,0.010053311571916813,20.0
video108_final.mp4,Healthy,84,0.013994835742245082,20.0
video108_final.mp4,Healthy,85,0.010695004114634116,20.0
video108_final.mp4,Healthy,86,0.024083909194398005,20.0
video108_final.mp4,Healthy,87,0.017083424609426204,20.0
video108_final.mp4,Healthy,88,0.018853097906943433,20.0
video108_final.mp4,Healthy,89,0.03612291808186949,20.0
video108_final.mp4,Healthy,90,0.028442848081837297,20.0
video108_final.mp4,Healthy,91,0.02382044345339892,20.0
video108_final.mp4,Healthy,92,0.04705477535301221,20.0
video108_final.mp4,Healthy,93,0.02556681187303382,20.0
video108_final.mp4,Healthy,94,0.019689927295026957,20.0
video108_final.mp4,Healthy,95,0.0271867695804603,20.0
video108_final.mp4,Healthy,96,0.011493336980329664,20.0
video108_final.mp4,Healthy,97,0.016814593583850117,20.0
video108_final.mp4,Healthy,98,0.012657637561933999,20.0
video108_final.mp4,Healthy,99,0.023913836384178776,20.0
video108_final.mp4,Healthy,100,0.024382936184634357,20.0
video10_final.mp4,Healthy,1,0.0,20.0
video10_final.mp4,Healthy,2,0.014615674433040026,20.0
video10_final.mp4,Healthy,3,0.003479511514933585,20.0
video10_final.mp4,Healthy,4,0.006363160564095316,20.0
video10_final.mp4,Healthy,5,0.004719969151289923,20.0
video10_final.mp4,Healthy,6,0.007888078160782616,20.0
video10_final.mp4,Healthy,7,0.005162350124124534,20.0
video10_final.mp4,Healthy,8,0.004153931734070418,20.0
video10_final.mp4,Healthy,9,0.006136980847887493,20.0
video10_final.mp4,Healthy,10,0.012677149747578869,20.0
video10_final.mp4,Healthy,11,0.0066443658500218205,20.0
video10_final.mp4,Healthy,12,0.014954033174111422,20.0
video10_final.mp4,Healthy,13,0.0034885465110419144,20.0
video10_final.mp4,Healthy,14,0.009971777674790976,20.0
video10_final.mp4,Healthy,15,0.0036993941771201505,20.0
video10_final.mp4,Healthy,16,0.005291261111683062,20.0
video10_final.mp4,Healthy,17,0.005662496214327166,20.0
video10_final.mp4,Healthy,18,0.005909924758918321,20.0
