Video,Label,Frame,Cheek_Right_Mag,FPS
video108_final.mp4,Healthy,30,0.03882609024893647,20.0
video108_final.mp4,Healthy,31,0.033725230692810144,20.0
video108_final.mp4,Healthy,32,0.0401562404528477,20.0
video108_final.mp4,Healthy,33,0.030976099452671702,20.0
video108_final.mp4,Healthy,34,0.026590879777449096,20.0
video108_final.mp4,Healthy,35,0.018191781106018004,20.0
video108_final.mp4,Healthy,36,0.03654008646713975,20.0
video108_final.mp4,Healthy,37,0.021229065404679094,20.0
video108_final.mp4,Healthy,38,0.05466786026344843,20.0
video108_final.mp4,Healthy,39,0.027940087581349794,20.0
video108_final.mp4,Healthy,40,0.032302310341930554,20.0
video108_final.mp4,Healthy,41,0.010429113897640379,20.0
video108_final.mp4,Healthy,42,0.013688252313853228,20.0
video108_final.mp4,Healthy,43,0.019493648175436577,20.0
video108_final.mp4,Healthy,44,0.03066115216292023,20.0
video108_final.mp4,Healthy,45,0.017110254879976868,20.0
video108_final.mp4,Healthy,46,0.019465463259090078,20.0
video108_final.mp4,Healthy,47,0.009261775548429866,20.0
video108_final.mp4,Healthy,48,0.006873019187595013,20.0
video108_final.mp4,Healthy,49,0.020870691833613036,20.0
video108_final.mp4,Healthy,50,0.022523983644702185,20.0
video108_final.mp4,Healthy,51,0.02250191085980178,20.0
video108_final.mp4,Healthy,52,0.030155982797529728,20.0
video108_final.mp4,Healthy,53,0.029437142073125165,20.0
video108_final.mp4,Healthy,54,0.03750984520405946,20.0
video108_final.mp4,Healthy,55,0.018986341272602,20.0
video108_final.mp4,Healthy,56,0.02679839368099633,20.0
video108_final.mp4,Healthy,57,0.01019464219732482,20.0
video108_final.mp4,Healthy,58,0.015964054215404627,20.0
video108_final.mp4,Healthy,59,0.042757643004922026,20.0
video108_final.mp4,Healthy,60,0.029534481931316865,20.0
video108_final.mp4,Healthy,61,0.021730316837555073,20.0
video108_final.mp4,Healthy,62,0.01954602961889918,20.0
video108_final.mp4,Healthy,63,0.014151031105715367,20.0
video108_final.mp4,Healthy,64,0.016200173986586235,20.0
video108_final.mp4,Healthy,65,0.015833308491353133,20.0
video108_final.mp4,Healthy,66,0.01814652682387964,20.0
video108_final.mp4,Healthy,67,0.01027769848077913,20.0
video108_final.mp4,Healthy,68,0.03343968451267486,20.0
video108_final.mp4,Healthy,69,0.013502425187738337,20.0
video108_final.mp4,Healthy,70,0.017913803256305542,20.0
video108_final.mp4,Healthy,71,0.008811617950131162,20.0
video108_final.mp4,Healthy,72,0.015888309693768244,20.0
video108_final.mp4,Healthy,73,0.007954962505857139,20.0
video108_final.mp4,Healthy,74,0.00973912917809852,20.0
video108_final.mp4,Healthy,75,0.006827963156706987,20.0
video108_final.mp4,Healthy,76,0.017565993747436524,20.0
video108_final.mp4,Healthy,77,0.014107223575326525,20.0
video108_final.mp4,Healthy,78,0.013195500948464278,20.0
video108_final.mp4,Healthy,79,0.004361464589196831,20.0
video108_final.mp4,Healthy,80,0.012568901580327595,20.0
video108_final.mp4,Healthy,81,0.009906298916779504,20.0
video108_final.mp4,Healthy,82,0.011441687393635233,20.0
video108_final.mp4,Healthy,83,0.008590569614047127,20.0
video108_final.mp4,Healthy,84,0.00616055580416825,20.0
video108_final.mp4,Healthy,85,0.016947237496858197,20.0
video108_final.mp4,Healthy,86,0.03640633958674383,20.0
video108_final.mp4,Healthy,87,0.02945440160980279,20.0
video108_final.mp4,Healthy,88,0.030541024997771872,20.0
video108_final.mp4,Healthy,89,0.01577784792156258,20.0
video108_final.mp4,Healthy,90,0.03306344739536443,20.0
video108_final.mp4,Healthy,91,0.014017840474397048,20.0
video108_final.mp4,Healthy,92,0.042908457058110236,20.0
video108_final.mp4,Healthy,93,0.013290771259020293,20.0
video108_final.mp4,Healthy,94,0.017128501229897265,20.0
video108_final.mp4,Healthy,95,0.02182702455024312,20.0
video108_final.mp4,Healthy,96,0.008948042632268135,20.0
video108_final.mp4,Healthy,97,0.013730425273798924,20.0
video108_final.mp4,Healthy,98,0.018694434117669405,20.0
video108_final.mp4,Healthy,99,0.01802650641413495,20.0
video108_final.mp4,Healthy,100,0.010586271464181497,20.0
video10_final.mp4,Healthy,1,0.0,20.0
video10_final.mp4,Healthy,2,0.008354379223545164,20.0
video10_final.mp4,Healthy,3,0.006212334241260222,20.0
video10_final.mp4,Healthy,4,0.0053255345032376025,20.0
video10_final.mp4,Healthy,5,0.003157467197822792,20.0
video10_final.mp4,Healthy,6,0.005683931208699918,20.0
video10_final.mp4,Healthy,7,0.002766719553329609,20.0
video10_final.mp4,Healthy,8,0.003682535041275434,20.0
video10_final.mp4,Healthy,9,0.0029264776378177997,20.0
video10_final.mp4,Healthy,10,0.010535438070114745,20.0
video10_final.mp4,Healthy,11,0.010040066285818088,20.0
video10_final.mp4,Healthy,12,0.009998678870529343,20.0
video10_final.mp4,Healthy,13,0.004857835725515618,20.0
video10_final.mp4,Healthy,14,0.004800816360389109,20.0
video10_final.mp4,Healthy,15,0.0029459043500527434,20.0
video10_final.mp4,Healthy,16,0.0031554948639447083,20.0
video10_final.mp4,Healthy,17,0.0029431204219643563,20.0
video10_final.mp4,Healthy,18,0.005511885608412044,20.0
video10_final.mp4,Healthy,19,0.005437584295614525,20.0
video10_final.mp4,Healthy,20,0.0035035304586231906,20.0
video10_final.mp4,Healthy,21,0.0037906642338334587,20.0
video10_final.mp4,Healthy,22,0.003970473983621279,20.0
video10_final.mp4,Healthy,23,0.003039434416047463,20.0
video10_final.mp4,Healthy,24,0.0016782471891136131,20.0
video10_final.mp4,Healthy,25,0.003395091065812739,20.0
video10_final.mp4,Healthy,26,0.009164683503372089,20.0
video10_final.mp4,Healthy,27,0.006319437303509773,20.0
video10_final.mp4,Healthy,28,0.005914321593790555,20.0
video10_final.mp4,Healthy,29,0.008515415592770168,20.0
video10_final.mp4,Healthy,30,0.006854974350214012,20.0
video10_final.mp4,Healthy,31,0.0057324364002431126,20.0
video10_final.mp4,Healthy,32,0.005508407460985529,20.0
video10_final.mp4,Healthy,33,0.005173562708884369,20.0
video10_final.mp4,Healthy,34,0.0018505669490794401,20.0
video10_final.mp4,Healthy,35,0.014186621880960305,20.0
video10_final.mp4,Healthy,36,0.01610985959981919,20.0
video10_final.mp4,Healthy,37,0.014513303440221509,20.0
video10_final.mp4,Healthy,38,0.023651059468785474,20.0
video10_final.mp4,Healthy,39,0.01293738018840163,20.0
video10_final.mp4,Healthy,40,0.01738906490111568,20.0
video10_final.mp4,Healthy,41,0.009017092053907322,20.0
video10_final.mp4,Healthy,42,0.0052316202669340445,20.0
video10_final.mp4,Healthy,43,0.004282683718426571,20.0
video10_final.mp4,Healthy,44,0.006570722193560493,20.0
video10_final.mp4,Healthy,45,0.0038363819157980093,20.0
video10_final.mp4,Healthy,46,0.006539291606748097,20.0
video10_final.mp4,Healthy,47,0.009171873617941615,20.0
video10_final.mp4,Healthy,48,0.010753699566386882,20.0
video10_final.mp4,Healthy,49,0.009092194050173122,20.0
video10_final.mp4,Healthy,50,0.02419578882965273,20.0
video10_final.mp4,Healthy,51,0.014982211693216788,20.0
video10_final.mp4,Healthy,52,0.0047927864068365075,20.0
video10_final.mp4,Healthy,53,0.00888682920691512,20.0
video10_final.mp4,Healthy,54,0.01516373871051439,20.0
video10_final.mp4,Healthy,55,0.005511904192173976,20.0
video10_final.mp4,Healthy,56,0.006455445919097543,20.0
video10_final.mp4,Healthy,57,0.006715339115324195,20.0
video10_final.mp4,Healthy,58,0.005829040854228924,20.0
video10_final.mp4,Healthy,59,0.007365851562454279,20.0
video10_final.mp4,Healthy,60,0.010383991101698742,20.0
video10_final.mp4,Healthy,61,0.0078046082865894095,20.0
video10_final.mp4,Healthy,62,0.003890557895675656,20.0
video10_final.mp4,Healthy,63,0.007549856741510231,20.0
video10_final.mp4,Healthy,64,0.015187049693435834,20.0
video10_final.mp4,Healthy,65,0.008525197118023608,20.0
video10_final.mp4,Healthy,66,0.01900494614903182,20.0
video10_final.mp4,Healthy,67,0.009600431303865321,20.0
video10_final.mp4,Healthy,68,0.006548832578200918,20.0
video10_final.mp4,Healthy,69,0.004004390807954597,20.0
video10_final.mp4,Healthy,70,0.008458809140729467,20.0
video10_final.mp4,Healthy,71,0.0073674712795025535,20.0
video10_final.mp4,Healthy,72,0.01664899740608858,20.0
video10_final.mp4,Healthy,73,0.004587238538330406,20.0
video10_final.mp4,Healthy,74,0.0028519237368634046,20.0
video10_final.mp4,Healthy,75,0.002192507809450733,20.0
video10_final.mp4,Healthy,76,0.007592494283178414,20.0
video10_final.mp4,Healthy,77,0.005989041774369265,20.0
video10_final.mp4,Healthy,78,0.004978055670954135,20.0
video10_final.mp4,Healthy,79,0.004532526887819922,20.0
video10_final.mp4,Healthy,80,0.009582239890454616,20.0
video10_final.mp4,Healthy,81,0.00814688602318224,20.0
video10_final.mp4,Healthy,82,0.006749983849869042,20.0
video10_final.mp4,Healthy,83,0.010872862135679744,20.0
video10_final.mp4,Healthy,84,0.025222125658136252,20.0
video10_final.mp4,Healthy,85,0.0343492544513196,20.0
video10_final.mp4,Healthy,86,0.048075474715789664,20.0
video10_final.mp4,Healthy,87,0.02659983553730106,20.0
video10_final.mp4,Healthy,88,0.023904793665397623,20.0
video10_final.mp4,Healthy,89,0.019793142499804593,20.0
video10_final.mp4,Healthy,90,0.024556290930882817,20.0
video10_final.mp4,Healthy,91,0.020537085310803928,20.0
video10_final.mp4,Healthy,92,0.008473811552052702,20.0
video10_final.mp4,Healthy,93,0.01168337492655728,20.0
video10_final.mp4,Healthy,94,0.026044431254509493,20.0
video10_final.mp4,Healthy,95,0.022213313878195484,20.0
video10_final.mp4,Healthy,96,0.02374213524005589,20.0
video10_final.mp4,Healthy,97,0.01897452834068864,20.0
video10_final.mp4,Healthy,98,0.07146220242314574,20.0
video10_final.mp4,Healthy,99,0.05942220255729762,20.0
video10_final.mp4,Healthy,100,0.08583276020704322,20.0
video11_final.mp4,Healthy,1,0.0,20.0
video11_final.mp4,Healthy,2,0.00672691674172894,20.0
video11_final.mp4,Healthy,3,0.0040189941787151665,20.0
video11_final.mp4,Healthy,4,0.0049097749629735885,20.0
video11_final.mp4,Healthy,5,0.006857959507408749,20.0
video11_final.mp4,Healthy,6,0.004424219418671436,20.0
